,ID карточки,ID товара:,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена,Обложка
301,297839,2201144,9785699350773,Емец Д.,,2009,0,Эксмо,352,Мефодий Буслаев Стеклянный страж,,,0,Мефодий Буслаев,Твердая глянцевая,,20.5 x 13.5 x 2.7,,Не указана,https://img-gorod.ru/upload/iblock/be3/be32a721f8c5ffde6ed83a939ee270d2.jpg
302,298188,2204519,9785699349340,Емец Д.,,2009,0,Эксмо,544,Таня Гроттер и Золотая Пиявка Таня Гроттер и трон Древнира,,,0,Большая книга Тани Гроттер,Твердая глянцевая,,22 x 14.6 x 3.8,,Не указана,https://img-gorod.ru/upload/iblock/ebf/ebf6970d861e4a9500c4d42171eff5ef.jpg
303,298552,2205593,9785699362189,Емец Д.,,2009,0,Эксмо,352,Галактический зверинец НЛО прибывает по расписанию,,,0,Большая книга фантастических приключений,Твердая бумажная,,22 x 14.8 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/1fc/1fc9b83f3be1909dc66b2ebd188e5b40.jpg
304,298660,2205885,9785699362165,Емец Д.,,2009,0,Эксмо,544,Таня Гроттер и посох волхвов Таня Гроттер и молот Перуна,,,0,Большая книга Тани Гроттер,Твердая глянцевая,,22 x 15 x 3.2,,Не указана,https://img-gorod.ru/upload/iblock/acf/acf5ce0d5b49ccb4604dffd943213d4b.jpg
305,299813,2210020,9785699367818,Емец Д.,,2009,0,Эксмо,544,Таня Гроттер и пенсне Ноя Таня Гроттер и ботинки кентавра,,,0,Большая книга Тани Гроттер,Твердая глянцевая,,22 x 14.6 x 3.5,,Не указана,https://img-gorod.ru/upload/iblock/7b5/7b55abd538709a2da9aebc7b042795b6.jpg
306,313050,2233000,9785699391059,Емец Д.,,2010,3,Эксмо,384,Шныр Пегас лев и кентавр,,Кузнецова Т.,5,Таня Гроттер,Твердая глянцевая,,21 x 13.5 x 2.5,Тимофеева В.,Не указана,https://img-gorod.ru/upload/iblock/377/3772967d785c0af04705eca9dc57951d.jpg
307,316424,2237734,9785699418879,Емец Д.,,2010,0,Эксмо,352,Таня Гроттер и болтливый сфинкс,,Кузнецова Т.,0,Таня Гроттер,Твердая бумажная,,20.5 x 13.5 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/615/615f6a97148e2831beaa886e8391bf0b.jpg
308,317381,2239314,9785699335619,Емец Д.,,2010,0,Эксмо,352,Дракончик Пыхалка,,Кузнецова Т.,0,,Твердая бумажная,,24.3 x 17 x 2.4,,Не указана,https://img-gorod.ru/upload/iblock/232/232925420414b949b2ce7cb6e93e6938.jpg
309,320102,2243443,9785699366156,Емец Д.,,2010,0,Эксмо,280,Приключения домовят,,Кузнецова Т.,0,,Твердая глянцевая,,26.5 x 20.5 x 2.5,Тимофеева В.,Не указана,https://img-gorod.ru/upload/iblock/b9a/b9ac312397a4185bd7508ef2eb6cdd1b.jpg
310,326765,2252769,9785699446285,Емец Д.,,2010,1,Эксмо,368,Мефодий Буслаев Маг полуночи,,Кузнецова Т.,5,Таня Гроттер&Мефодий Буслаев,Мягкая бумажная,,21 x 16.3 x 2.3,,Не указана,https://img-gorod.ru/upload/iblock/981/981602e8254c57996aed80bdb5100d1e.jpg
